# 기술·마법 한글 이름 — 사람이 채운다.
# 구조(선행·직업·갈래)는 원작 영문 표가 정답지다: data/game-data/abilities.json
# 팩(5.99)의 82·71 은 운영자가 손댄 사본이라 쓰지 않는다. 이름만 필요하다.
#
# 마지막 칸 `한글이름` 만 채우면 된다. 비워 두면 영문 이름을 그대로 쓴다.
# 배치: 직업 → 갈래 → 선행 사슬. 들여쓰기(`·`)가 깊을수록 나중에 배우는 것이다.
# 다시 만들어도 채운 칸은 지켜진다: python3 scripts/build-ability-nametable.py
#
갈래	직업	영문이름	선행	레벨	한글이름
마법	수도사	Hail of Feathers 1		0	
마법	수도사	· Hail of Feathers 2	Hail of Feathers 1	100	
마법	수도사	·· Hail of Feathers 3	Hail of Feathers 2	100	
마법	수도사	··· Hail of Feathers 4	Hail of Feathers 3	100	
마법	수도사	···· Hail of Feathers 5	Hail of Feathers 4	100	
마법	수도사	····· Hail of Feathers 6	Hail of Feathers 5	100	
마법	수도사	······ Hail of Feathers 7	Hail of Feathers 6	100	
마법	수도사	······· Hail of Feathers 8	Hail of Feathers 7	100	
마법	수도사	········ Hail of Feathers 9	Hail of Feathers 8	100	
마법	수도사	········· Hail of Feathers 10	Hail of Feathers 9	100	
마법	수도사	Howl		0	
마법	수도사	Inner Fire		0	
마법	수도사	Iron Skin		0	금강불괴
마법	수도사	Karura Form		0	
마법	수도사	· Wild Karura Form	Karura Form	100	
마법	수도사	·· Fierce Karura Form	Wild Karura Form	100	
마법	수도사	··· Master Karura Form	Fierce Karura Form	100	
마법	수도사	Kelberoth Stance		0	
마법	수도사	Komodas Form		0	
마법	수도사	· Wild Komodas Form	Komodas Form	100	
마법	수도사	·· Fierce Komodas Form	Wild Komodas Form	100	
마법	수도사	··· Master Komodas Form	Fierce Komodas Form	100	
마법	수도사	Mist		0	
마법	수도사	· dion	Mist	60	
마법	수도사	Roar		0	
마법	수도사	Scorpion Stance		0	
마법	수도사	Snort		0	
마법	수도사	Trance		0	
마법	수도사	White Bat Stance		0	
마법	수도사	Wraith Touch		0	홀리드래곤
마법	수도사	beag nochd		0	장풍
마법	수도사	puinneag beatha		0	
