축구심판복	의상류	모든직업    레벨41 (AC -1), 무게1
가이아로럼	의상류	남자 마법사    레벨71 (AC -32), 무게 8
가이아로럼수	의상류	남자 마법사    레벨71 (AC -33), 무게 8
가이아로럼토	의상류	남자 마법사    레벨71 (AC -34), 무게 8
가이아로럼풍	의상류	남자 마법사    레벨71 (AC -35), 무게 8
가이아로럼화	의상류	남자 마법사    레벨71 (AC -36), 무게 8
수오미가이아로럼	의상류	남자 마법사    레벨71 (AC -32), 무게 8
수오미가이아로럼수	의상류	남자 마법사    레벨71 (AC -33), 무게 8
수오미가이아로럼토	의상류	남자 마법사    레벨71 (AC -34), 무게 8
수오미가이아로럼풍	의상류	남자 마법사    레벨71 (AC -35), 무게 8
수오미가이아로럼화	의상류	남자 마법사    레벨71 (AC -36), 무게 8
뤼케시온가이아로럼	의상류	남자 마법사    레벨71 (AC -32), 무게 8
뤼케시온가이아로럼수	의상류	남자 마법사    레벨71 (AC -33), 무게 8
뤼케시온가이아로럼토	의상류	남자 마법사    레벨71 (AC -34), 무게 8
뤼케시온가이아로럼풍	의상류	남자 마법사    레벨71 (AC -35), 무게 8
뤼케시온가이아로럼화	의상류	남자 마법사    레벨71 (AC -36), 무게 8
루어스가이아로럼	의상류	남자 마법사    레벨71 (AC -32), 무게 8
루어스가이아로럼수	의상류	남자 마법사    레벨71 (AC -33), 무게 8
루어스가이아로럼토	의상류	남자 마법사    레벨71 (AC -34), 무게 8
루어스가이아로럼풍	의상류	남자 마법사    레벨71 (AC -35), 무게 8
루어스가이아로럼화	의상류	남자 마법사    레벨71 (AC -36), 무게 8
밀레스가이아로럼	의상류	남자 마법사    레벨71 (AC -32), 무게 8
밀레스가이아로럼수	의상류	남자 마법사    레벨71 (AC -33), 무게 8
밀레스가이아로럼토	의상류	남자 마법사    레벨71 (AC -34), 무게 8
밀레스가이아로럼풍	의상류	남자 마법사    레벨71 (AC -35), 무게 8
밀레스가이아로럼화	의상류	남자 마법사    레벨71 (AC -36), 무게 8
다크로럼	의상류	남자 마법사    레벨99 (AC -40), 무게10
다크로럼수	의상류	남자 마법사    레벨99 (AC -41), 무게10
다크로럼토	의상류	남자 마법사    레벨99 (AC -42), 무게10
다크로럼풍	의상류	남자 마법사    레벨99 (AC -43), 무게10
다크로럼화	의상류	남자 마법사    레벨99 (AC -44), 무게10
수오미다크로럼	의상류	남자 마법사    레벨99 (AC -40), 무게10
수오미다크로럼수	의상류	남자 마법사    레벨99 (AC -41), 무게10
수오미다크로럼토	의상류	남자 마법사    레벨99 (AC -42), 무게10
수오미다크로럼풍	의상류	남자 마법사    레벨99 (AC -43), 무게10
수오미다크로럼화	의상류	남자 마법사    레벨99 (AC -44), 무게10
뤼케시온다크로럼	의상류	남자 마법사    레벨99 (AC -40), 무게10
뤼케시온다크로럼수	의상류	남자 마법사    레벨99 (AC -41), 무게10
뤼케시온다크로럼토	의상류	남자 마법사    레벨99 (AC -42), 무게10
뤼케시온다크로럼풍	의상류	남자 마법사    레벨99 (AC -43), 무게10
뤼케시온다크로럼화	의상류	남자 마법사    레벨99 (AC -44), 무게10
루어스다크로럼	의상류	남자 마법사    레벨99 (AC -40), 무게10
루어스다크로럼수	의상류	남자 마법사    레벨99 (AC -41), 무게10
루어스다크로럼토	의상류	남자 마법사    레벨99 (AC -42), 무게10
루어스다크로럼풍	의상류	남자 마법사    레벨99 (AC -43), 무게10
루어스다크로럼화	의상류	남자 마법사    레벨99 (AC -44), 무게10
밀레스다크로럼	의상류	남자 마법사    레벨99 (AC -40), 무게10
밀레스다크로럼수	의상류	남자 마법사    레벨99 (AC -41), 무게10
밀레스다크로럼토	의상류	남자 마법사    레벨99 (AC -42), 무게10
밀레스다크로럼풍	의상류	남자 마법사    레벨99 (AC -43), 무게10
밀레스다크로럼화	의상류	남자 마법사    레벨99 (AC -44), 무게10
헬소서러로브	의상류	남자 마법사    레벨99 (AC -48), 무게 7
셍즈	의상류	남자 성직자    레벨 1 (AC - 8), 무게 4
셍즈수	의상류	남자 성직자    레벨 1 (AC - 9), 무게 4
셍즈토	의상류	남자 성직자    레벨 1 (AC -10), 무게 4
셍즈풍	의상류	남자 성직자    레벨 1 (AC -11), 무게 4
셍즈화	의상류	남자 성직자    레벨 1 (AC -12), 무게 4
수오미셍즈	의상류	남자 성직자    레벨 1 (AC - 8), 무게 4
수오미셍즈수	의상류	남자 성직자    레벨 1 (AC - 9), 무게 4
수오미셍즈토	의상류	남자 성직자    레벨 1 (AC -10), 무게 4
수오미셍즈풍	의상류	남자 성직자    레벨 1 (AC -11), 무게 4
수오미셍즈화	의상류	남자 성직자    레벨 1 (AC -12), 무게 4
뤼케시온셍즈	의상류	남자 성직자    레벨 1 (AC - 8), 무게 4
뤼케시온셍즈수	의상류	남자 성직자    레벨 1 (AC - 9), 무게 4
뤼케시온셍즈토	의상류	남자 성직자    레벨 1 (AC -10), 무게 4
뤼케시온셍즈풍	의상류	남자 성직자    레벨 1 (AC -11), 무게 4
뤼케시온셍즈화	의상류	남자 성직자    레벨 1 (AC -12), 무게 4
루어스셍즈	의상류	남자 성직자    레벨 1 (AC - 8), 무게 4
루어스셍즈수	의상류	남자 성직자    레벨 1 (AC - 9), 무게 4
루어스셍즈토	의상류	남자 성직자    레벨 1 (AC -10), 무게 4
루어스셍즈풍	의상류	남자 성직자    레벨 1 (AC -11), 무게 4
루어스셍즈화	의상류	남자 성직자    레벨 1 (AC -12), 무게 4
밀레스셍즈	의상류	남자 성직자    레벨 1 (AC - 8), 무게 4
밀레스셍즈수	의상류	남자 성직자    레벨 1 (AC - 9), 무게 4
밀레스셍즈토	의상류	남자 성직자    레벨 1 (AC -10), 무게 4
밀레스셍즈풍	의상류	남자 성직자    레벨 1 (AC -11), 무게 4
밀레스셍즈화	의상류	남자 성직자    레벨 1 (AC -12), 무게 4
레더로브	의상류	남자 성직자    레벨11 (AC -17), 무게 5
레더로브수	의상류	남자 성직자    레벨11 (AC -18), 무게 5
레더로브토	의상류	남자 성직자    레벨11 (AC -19), 무게 5
레더로브풍	의상류	남자 성직자    레벨11 (AC -20), 무게 5
레더로브화	의상류	남자 성직자    레벨11 (AC -21), 무게 5
수오미레더로브	의상류	남자 성직자    레벨11 (AC -17), 무게 5
수오미레더로브수	의상류	남자 성직자    레벨11 (AC -18), 무게 5
수오미레더로브토	의상류	남자 성직자    레벨11 (AC -19), 무게 5
수오미레더로브풍	의상류	남자 성직자    레벨11 (AC -20), 무게 5
수오미레더로브화	의상류	남자 성직자    레벨11 (AC -21), 무게 5
뤼케시온레더로브	의상류	남자 성직자    레벨11 (AC -17), 무게 5
뤼케시온레더로브수	의상류	남자 성직자    레벨11 (AC -18), 무게 5
뤼케시온레더로브토	의상류	남자 성직자    레벨11 (AC -19), 무게 5
뤼케시온레더로브풍	의상류	남자 성직자    레벨11 (AC -20), 무게 5
뤼케시온레더로브화	의상류	남자 성직자    레벨11 (AC -21), 무게 5
루어스레더로브	의상류	남자 성직자    레벨11 (AC -17), 무게 5
루어스레더로브수	의상류	남자 성직자    레벨11 (AC -18), 무게 5
루어스레더로브토	의상류	남자 성직자    레벨11 (AC -19), 무게 5
루어스레더로브풍	의상류	남자 성직자    레벨11 (AC -20), 무게 5
루어스레더로브화	의상류	남자 성직자    레벨11 (AC -21), 무게 5
밀레스레더로브	의상류	남자 성직자    레벨11 (AC -17), 무게 5
밀레스레더로브수	의상류	남자 성직자    레벨11 (AC -18), 무게 5
밀레스레더로브토	의상류	남자 성직자    레벨11 (AC -19), 무게 5
밀레스레더로브풍	의상류	남자 성직자    레벨11 (AC -20), 무게 5
밀레스레더로브화	의상류	남자 성직자    레벨11 (AC -21), 무게 5
맨틀	의상류	남자 성직자    레벨41 (AC -26), 무게 7
맨틀수	의상류	남자 성직자    레벨41 (AC -27), 무게 7
맨틀토	의상류	남자 성직자    레벨41 (AC -28), 무게 7
맨틀풍	의상류	남자 성직자    레벨41 (AC -29), 무게 7
맨틀화	의상류	남자 성직자    레벨41 (AC -30), 무게 7
수오미맨틀	의상류	남자 성직자    레벨41 (AC -26), 무게 7
수오미맨틀수	의상류	남자 성직자    레벨41 (AC -27), 무게 7
수오미맨틀토	의상류	남자 성직자    레벨41 (AC -28), 무게 7
수오미맨틀풍	의상류	남자 성직자    레벨41 (AC -29), 무게 7
수오미맨틀화	의상류	남자 성직자    레벨41 (AC -30), 무게 7
뤼케시온맨틀	의상류	남자 성직자    레벨41 (AC -26), 무게 7
뤼케시온맨틀수	의상류	남자 성직자    레벨41 (AC -27), 무게 7
뤼케시온맨틀토	의상류	남자 성직자    레벨41 (AC -28), 무게 7
뤼케시온맨틀풍	의상류	남자 성직자    레벨41 (AC -29), 무게 7
뤼케시온맨틀화	의상류	남자 성직자    레벨41 (AC -30), 무게 7
루어스맨틀	의상류	남자 성직자    레벨41 (AC -26), 무게 7
루어스맨틀수	의상류	남자 성직자    레벨41 (AC -27), 무게 7
루어스맨틀토	의상류	남자 성직자    레벨41 (AC -28), 무게 7
루어스맨틀풍	의상류	남자 성직자    레벨41 (AC -29), 무게 7
루어스맨틀화	의상류	남자 성직자    레벨41 (AC -30), 무게 7
밀레스맨틀	의상류	남자 성직자    레벨41 (AC -26), 무게 7
밀레스맨틀수	의상류	남자 성직자    레벨41 (AC -27), 무게 7
밀레스맨틀토	의상류	남자 성직자    레벨41 (AC -28), 무게 7
밀레스맨틀풍	의상류	남자 성직자    레벨41 (AC -29), 무게 7
밀레스맨틀화	의상류	남자 성직자    레벨41 (AC -30), 무게 7
위저드로브	의상류	남자 성직자    레벨71 (AC -34), 무게10
위저드로브수	의상류	남자 성직자    레벨71 (AC -35), 무게10
위저드로브토	의상류	남자 성직자    레벨71 (AC -36), 무게10
위저드로브풍	의상류	남자 성직자    레벨71 (AC -37), 무게10
위저드로브화	의상류	남자 성직자    레벨71 (AC -38), 무게10
수오미위저드로브	의상류	남자 성직자    레벨71 (AC -34), 무게10
수오미위저드로브수	의상류	남자 성직자    레벨71 (AC -35), 무게10
수오미위저드로브토	의상류	남자 성직자    레벨71 (AC -36), 무게10
수오미위저드로브풍	의상류	남자 성직자    레벨71 (AC -37), 무게10
수오미위저드로브화	의상류	남자 성직자    레벨71 (AC -38), 무게10
뤼케시온위저드로브	의상류	남자 성직자    레벨71 (AC -34), 무게10
뤼케시온위저드로브수	의상류	남자 성직자    레벨71 (AC -35), 무게10
뤼케시온위저드로브토	의상류	남자 성직자    레벨71 (AC -36), 무게10
뤼케시온위저드로브풍	의상류	남자 성직자    레벨71 (AC -37), 무게10
뤼케시온위저드로브화	의상류	남자 성직자    레벨71 (AC -38), 무게10
루어스위저드로브	의상류	남자 성직자    레벨71 (AC -34), 무게10
루어스위저드로브수	의상류	남자 성직자    레벨71 (AC -35), 무게10
루어스위저드로브토	의상류	남자 성직자    레벨71 (AC -36), 무게10
루어스위저드로브풍	의상류	남자 성직자    레벨71 (AC -37), 무게10
루어스위저드로브화	의상류	남자 성직자    레벨71 (AC -38), 무게10
밀레스위저드로브	의상류	남자 성직자    레벨71 (AC -34), 무게10
밀레스위저드로브수	의상류	남자 성직자    레벨71 (AC -35), 무게10
밀레스위저드로브토	의상류	남자 성직자    레벨71 (AC -36), 무게10
밀레스위저드로브풍	의상류	남자 성직자    레벨71 (AC -37), 무게10
밀레스위저드로브화	의상류	남자 성직자    레벨71 (AC -38), 무게10
네크로브	의상류	남자 성직자    레벨99 (AC -43), 무게14
네크로브수	의상류	남자 성직자    레벨99 (AC -44), 무게14
네크로브토	의상류	남자 성직자    레벨99 (AC -45), 무게14
네크로브풍	의상류	남자 성직자    레벨99 (AC -46), 무게14
네크로브화	의상류	남자 성직자    레벨99 (AC -47), 무게14
수오미네크로브	의상류	남자 성직자    레벨99 (AC -43), 무게14
수오미네크로브수	의상류	남자 성직자    레벨99 (AC -44), 무게14
수오미네크로브토	의상류	남자 성직자    레벨99 (AC -45), 무게14
수오미네크로브풍	의상류	남자 성직자    레벨99 (AC -46), 무게14
수오미네크로브화	의상류	남자 성직자    레벨99 (AC -47), 무게14
뤼케시온네크로브	의상류	남자 성직자    레벨99 (AC -43), 무게14
뤼케시온네크로브수	의상류	남자 성직자    레벨99 (AC -44), 무게14
뤼케시온네크로브토	의상류	남자 성직자    레벨99 (AC -45), 무게14
뤼케시온네크로브풍	의상류	남자 성직자    레벨99 (AC -46), 무게14
뤼케시온네크로브화	의상류	남자 성직자    레벨99 (AC -47), 무게14
루어스네크로브	의상류	남자 성직자    레벨99 (AC -43), 무게14
루어스네크로브수	의상류	남자 성직자    레벨99 (AC -44), 무게14
루어스네크로브토	의상류	남자 성직자    레벨99 (AC -45), 무게14
루어스네크로브풍	의상류	남자 성직자    레벨99 (AC -46), 무게14
루어스네크로브화	의상류	남자 성직자    레벨99 (AC -47), 무게14
밀레스네크로브	의상류	남자 성직자    레벨99 (AC -43), 무게14
밀레스네크로브수	의상류	남자 성직자    레벨99 (AC -44), 무게14
밀레스네크로브토	의상류	남자 성직자    레벨99 (AC -45), 무게14
밀레스네크로브풍	의상류	남자 성직자    레벨99 (AC -46), 무게14
밀레스네크로브화	의상류	남자 성직자    레벨99 (AC -47), 무게14
헬클레릭로브	의상류	남자 성직자    레벨99 (AC -51), 무게10
도복	의상류	남자 무도가      레벨 1 (AC -10), 무게 4
도복수	의상류	남자 무도가      레벨 1 (AC -11), 무게 4
도복토	의상류	남자 무도가      레벨 1 (AC -12), 무게 4
도복풍	의상류	남자 무도가      레벨 1 (AC -13), 무게 4
도복화	의상류	남자 무도가      레벨 1 (AC -14), 무게 4
수오미도복	의상류	남자 무도가      레벨 1 (AC -10), 무게 4
수오미도복수	의상류	남자 무도가      레벨 1 (AC -11), 무게 4
수오미도복토	의상류	남자 무도가      레벨 1 (AC -12), 무게 4
수오미도복풍	의상류	남자 무도가      레벨 1 (AC -13), 무게 4
수오미도복화	의상류	남자 무도가      레벨 1 (AC -14), 무게 4
뤼케시온도복	의상류	남자 무도가      레벨 1 (AC -10), 무게 4
뤼케시온도복수	의상류	남자 무도가      레벨 1 (AC -11), 무게 4
뤼케시온도복토	의상류	남자 무도가      레벨 1 (AC -12), 무게 4
뤼케시온도복풍	의상류	남자 무도가      레벨 1 (AC -13), 무게 4
뤼케시온도복화	의상류	남자 무도가      레벨 1 (AC -14), 무게 4
루어스도복	의상류	남자 무도가      레벨 1 (AC -10), 무게 4
루어스도복수	의상류	남자 무도가      레벨 1 (AC -11), 무게 4
루어스도복토	의상류	남자 무도가      레벨 1 (AC -12), 무게 4
루어스도복풍	의상류	남자 무도가      레벨 1 (AC -13), 무게 4
루어스도복화	의상류	남자 무도가      레벨 1 (AC -14), 무게 4
밀레스도복	의상류	남자 무도가      레벨 1 (AC -10), 무게 4
밀레스도복수	의상류	남자 무도가      레벨 1 (AC -11), 무게 4
밀레스도복토	의상류	남자 무도가      레벨 1 (AC -12), 무게 4
밀레스도복풍	의상류	남자 무도가      레벨 1 (AC -13), 무게 4
밀레스도복화	의상류	남자 무도가      레벨 1 (AC -14), 무게 4
단도복	의상류	남자 무도가      레벨11 (AC -19), 무게 6
단도복수	의상류	남자 무도가      레벨11 (AC -20), 무게 6
단도복토	의상류	남자 무도가      레벨11 (AC -21), 무게 6
단도복풍	의상류	남자 무도가      레벨11 (AC -22), 무게 6
단도복화	의상류	남자 무도가      레벨11 (AC -23), 무게 6
수오미단도복	의상류	남자 무도가      레벨11 (AC -19), 무게 6
수오미단도복수	의상류	남자 무도가      레벨11 (AC -20), 무게 6
수오미단도복토	의상류	남자 무도가      레벨11 (AC -21), 무게 6
수오미단도복풍	의상류	남자 무도가      레벨11 (AC -22), 무게 6
수오미단도복화	의상류	남자 무도가      레벨11 (AC -23), 무게 6
뤼케시온단도복	의상류	남자 무도가      레벨11 (AC -19), 무게 6
뤼케시온단도복수	의상류	남자 무도가      레벨11 (AC -20), 무게 6
뤼케시온단도복토	의상류	남자 무도가      레벨11 (AC -21), 무게 6
뤼케시온단도복풍	의상류	남자 무도가      레벨11 (AC -22), 무게 6
뤼케시온단도복화	의상류	남자 무도가      레벨11 (AC -23), 무게 6
루어스단도복	의상류	남자 무도가      레벨11 (AC -19), 무게 6
루어스단도복수	의상류	남자 무도가      레벨11 (AC -20), 무게 6
루어스단도복토	의상류	남자 무도가      레벨11 (AC -21), 무게 6
루어스단도복풍	의상류	남자 무도가      레벨11 (AC -22), 무게 6
루어스단도복화	의상류	남자 무도가      레벨11 (AC -23), 무게 6
밀레스단도복	의상류	남자 무도가      레벨11 (AC -19), 무게 6
밀레스단도복수	의상류	남자 무도가      레벨11 (AC -20), 무게 6
밀레스단도복토	의상류	남자 무도가      레벨11 (AC -21), 무게 6
밀레스단도복풍	의상류	남자 무도가      레벨11 (AC -22), 무게 6
밀레스단도복화	의상류	남자 무도가      레벨11 (AC -23), 무게 6
천지도복	의상류	남자 무도가      레벨41 (AC -29), 무게 8
천지도복수	의상류	남자 무도가      레벨41 (AC -30), 무게 8
천지도복토	의상류	남자 무도가      레벨41 (AC -31), 무게 8
천지도복풍	의상류	남자 무도가      레벨41 (AC -32), 무게 8
천지도복화	의상류	남자 무도가      레벨41 (AC -33), 무게 8
수오미천지도복	의상류	남자 무도가      레벨41 (AC -29), 무게 8
수오미천지도복수	의상류	남자 무도가      레벨41 (AC -30), 무게 8
수오미천지도복토	의상류	남자 무도가      레벨41 (AC -31), 무게 8
수오미천지도복풍	의상류	남자 무도가      레벨41 (AC -32), 무게 8
수오미천지도복화	의상류	남자 무도가      레벨41 (AC -33), 무게 8
뤼케시온천지도복	의상류	남자 무도가      레벨41 (AC -29), 무게 8
뤼케시온천지도복수	의상류	남자 무도가      레벨41 (AC -30), 무게 8
뤼케시온천지도복토	의상류	남자 무도가      레벨41 (AC -31), 무게 8
뤼케시온천지도복풍	의상류	남자 무도가      레벨41 (AC -32), 무게 8
뤼케시온천지도복화	의상류	남자 무도가      레벨41 (AC -33), 무게 8
루어스천지도복	의상류	남자 무도가      레벨41 (AC -29), 무게 8
루어스천지도복수	의상류	남자 무도가      레벨41 (AC -30), 무게 8
루어스천지도복토	의상류	남자 무도가      레벨41 (AC -31), 무게 8
루어스천지도복풍	의상류	남자 무도가      레벨41 (AC -32), 무게 8
루어스천지도복화	의상류	남자 무도가      레벨41 (AC -33), 무게 8
밀레스천지도복	의상류	남자 무도가      레벨41 (AC -29), 무게 8
밀레스천지도복수	의상류	남자 무도가      레벨41 (AC -30), 무게 8
밀레스천지도복토	의상류	남자 무도가      레벨41 (AC -31), 무게 8
밀레스천지도복풍	의상류	남자 무도가      레벨41 (AC -32), 무게 8
밀레스천지도복화	의상류	남자 무도가      레벨41 (AC -33), 무게 8
선풍도복	의상류	남자 무도가      레벨71 (AC -38), 무게11
선풍도복수	의상류	남자 무도가      레벨71 (AC -39), 무게11
선풍도복토	의상류	남자 무도가      레벨71 (AC -40), 무게11
선풍도복풍	의상류	남자 무도가      레벨71 (AC -41), 무게11
선풍도복화	의상류	남자 무도가      레벨71 (AC -42), 무게11
수오미선풍도복	의상류	남자 무도가      레벨71 (AC -38), 무게11
수오미선풍도복수	의상류	남자 무도가      레벨71 (AC -39), 무게11
수오미선풍도복토	의상류	남자 무도가      레벨71 (AC -40), 무게11
수오미선풍도복풍	의상류	남자 무도가      레벨71 (AC -41), 무게11
수오미선풍도복화	의상류	남자 무도가      레벨71 (AC -42), 무게11
뤼케시온선풍도복	의상류	남자 무도가      레벨71 (AC -38), 무게11
뤼케시온선풍도복수	의상류	남자 무도가      레벨71 (AC -39), 무게11
뤼케시온선풍도복토	의상류	남자 무도가      레벨71 (AC -40), 무게11
뤼케시온선풍도복풍	의상류	남자 무도가      레벨71 (AC -41), 무게11
뤼케시온선풍도복화	의상류	남자 무도가      레벨71 (AC -42), 무게11
루어스선풍도복	의상류	남자 무도가      레벨71 (AC -38), 무게11
루어스선풍도복수	의상류	남자 무도가      레벨71 (AC -39), 무게11
루어스선풍도복토	의상류	남자 무도가      레벨71 (AC -40), 무게11
루어스선풍도복풍	의상류	남자 무도가      레벨71 (AC -41), 무게11
루어스선풍도복화	의상류	남자 무도가      레벨71 (AC -42), 무게11
밀레스선풍도복	의상류	남자 무도가      레벨71 (AC -38), 무게11
밀레스선풍도복수	의상류	남자 무도가      레벨71 (AC -39), 무게11
밀레스선풍도복토	의상류	남자 무도가      레벨71 (AC -40), 무게11
밀레스선풍도복풍	의상류	남자 무도가      레벨71 (AC -41), 무게11
밀레스선풍도복화	의상류	남자 무도가      레벨71 (AC -42), 무게11
태산도복	의상류	남자 무도가      레벨99 (AC -48), 무게14
태산도복수	의상류	남자 무도가      레벨99 (AC -49), 무게14
태산도복토	의상류	남자 무도가      레벨99 (AC -50), 무게14
태산도복풍	의상류	남자 무도가      레벨99 (AC -51), 무게14
태산도복화	의상류	남자 무도가      레벨99 (AC -52), 무게14
수오미태산도복	의상류	남자 무도가      레벨99 (AC -48), 무게14
수오미태산도복수	의상류	남자 무도가      레벨99 (AC -49), 무게14
수오미태산도복토	의상류	남자 무도가      레벨99 (AC -50), 무게14
수오미태산도복풍	의상류	남자 무도가      레벨99 (AC -51), 무게14
수오미태산도복화	의상류	남자 무도가      레벨99 (AC -52), 무게14
뤼케시온태산도복	의상류	남자 무도가      레벨99 (AC -48), 무게14
뤼케시온태산도복수	의상류	남자 무도가      레벨99 (AC -49), 무게14
뤼케시온태산도복토	의상류	남자 무도가      레벨99 (AC -50), 무게14
뤼케시온태산도복풍	의상류	남자 무도가      레벨99 (AC -51), 무게14
뤼케시온태산도복화	의상류	남자 무도가      레벨99 (AC -52), 무게14
루어스태산도복	의상류	남자 무도가      레벨99 (AC -48), 무게14
루어스태산도복수	의상류	남자 무도가      레벨99 (AC -49), 무게14
루어스태산도복토	의상류	남자 무도가      레벨99 (AC -50), 무게14
루어스태산도복풍	의상류	남자 무도가      레벨99 (AC -51), 무게14
루어스태산도복화	의상류	남자 무도가      레벨99 (AC -52), 무게14
밀레스태산도복	의상류	남자 무도가      레벨99 (AC -48), 무게14
밀레스태산도복수	의상류	남자 무도가      레벨99 (AC -49), 무게14
밀레스태산도복토	의상류	남자 무도가      레벨99 (AC -50), 무게14
밀레스태산도복풍	의상류	남자 무도가      레벨99 (AC -51), 무게14
밀레스태산도복화	의상류	남자 무도가      레벨99 (AC -52), 무게14
블라우스	의상류	평민 여자용 원피스.약간 뻣뻣하지만 움직이기에는 편하다. 가볍고 나름대로 귀여운 멋이 있다. 여성스러움을 강조한 두줄의 보라색 라인이 돋보이는 디자인.
드레스	의상류	여자 이벤트의상 레벨 1 (AC - 2), 무게 4
밀레스길드복	의상류	여자 공식길드복 레벨 1 (AC - 2), 무게 4
수오미길드복	의상류	여자 공식길드복 레벨 1 (AC - 2), 무게 4
아벨길드복	의상류	여자 공식길드복 레벨 1 (AC - 2), 무게 4
뤼케시온길드복	의상류	여자 공식길드복 레벨 1 (AC - 2), 무게 4
루어스길드복	의상류	여자 공식길드복 레벨 1 (AC - 2), 무게 4
웨딩드레스	의상류	여자 이벤트의상 레벨 1 (AC - 2), 무게 4
비키니	의상류	여자 이벤트의상 레벨11 (AC - 1), 무게 1
바니걸	의상류	여자 이벤트의상 레벨11 (AC - 2), 무게 4
캣우먼	의상류	여자 이벤트의상 레벨11 (AC - 2), 무게 4
로즈힐	의상류	여자 이벤트의상 레벨11 (AC - 2), 무게 4
실루엣	의상류	여자 이벤트의상 레벨11 (AC - 2), 무게 4
밸벳	의상류	여자 이벤트의상 레벨11 (AC - 2), 무게 4
슬리브	의상류	여자 이벤트의상 레벨11 (AC - 2), 무게 4
여자스키복	의상류	여자 이벤트의상   레벨41 (AC - 2), 무게 4
로오의드레스	의상류	
세인트로브	의상류	여자 승급성직자 레벨 99 (AC - 52), 무게 10
월영도복	의상류	여자 승급무도가 레벨 99 (AC - 62), 무게 13
레인저아머	의상류	여자 승급도적 레벨 99 (AC - 62), 무게 12
다크로브	의상류	여자 승급마법사 레벨 99 (AC - 50), 무게 10
튜닉	의상류	여자 전사 레벨 1 (AC -11), 무게 4
튜닉수	의상류	여자 전사 레벨 1 (AC -12), 무게 4
튜닉토	의상류	여자 전사 레벨 1 (AC -13), 무게 4
튜닉풍	의상류	여자 전사 레벨 1 (AC -14), 무게 4
튜닉화	의상류	여자 전사 레벨 1 (AC -15), 무게 4
수오미튜닉	의상류	여자 전사 레벨 1 (AC -11), 무게 4
수오미튜닉수	의상류	여자 전사 레벨 1 (AC -12), 무게 4
수오미튜닉토	의상류	여자 전사 레벨 1 (AC -13), 무게 4
수오미튜닉풍	의상류	여자 전사 레벨 1 (AC -14), 무게 4
수오미튜닉화	의상류	여자 전사 레벨 1 (AC -15), 무게 4
뤼케시온튜닉	의상류	여자 전사 레벨 1 (AC -11), 무게 4
뤼케시온튜닉수	의상류	여자 전사 레벨 1 (AC -12), 무게 4
뤼케시온튜닉토	의상류	여자 전사 레벨 1 (AC -13), 무게 4
뤼케시온튜닉풍	의상류	여자 전사 레벨 1 (AC -14), 무게 4
뤼케시온튜닉화	의상류	여자 전사 레벨 1 (AC -15), 무게 4
루어스튜닉	의상류	여자 전사 레벨 1 (AC -11), 무게 4
루어스튜닉수	의상류	여자 전사 레벨 1 (AC -12), 무게 4
루어스튜닉토	의상류	여자 전사 레벨 1 (AC -13), 무게 4
루어스튜닉풍	의상류	여자 전사 레벨 1 (AC -14), 무게 4
루어스튜닉화	의상류	여자 전사 레벨 1 (AC -15), 무게 4
밀레스튜닉	의상류	여자 전사 레벨 1 (AC -11), 무게 4
밀레스튜닉수	의상류	여자 전사 레벨 1 (AC -12), 무게 4
밀레스튜닉토	의상류	여자 전사 레벨 1 (AC -13), 무게 4
밀레스튜닉풍	의상류	여자 전사 레벨 1 (AC -14), 무게 4
밀레스튜닉화	의상류	여자 전사 레벨 1 (AC -15), 무게 4
레데메일	의상류	여자 전사 레벨11 (AC -17), 무게 7
레데메일수	의상류	여자 전사 레벨11 (AC -18), 무게 7
레데메일토	의상류	여자 전사 레벨11 (AC -19), 무게 7
레데메일풍	의상류	여자 전사 레벨11 (AC -20), 무게 7
레데메일화	의상류	여자 전사 레벨11 (AC -21), 무게 7
수오미레데메일	의상류	여자 전사 레벨11 (AC -17), 무게 7
수오미레데메일수	의상류	여자 전사 레벨11 (AC -18), 무게 7
수오미레데메일토	의상류	여자 전사 레벨11 (AC -19), 무게 7
수오미레데메일풍	의상류	여자 전사 레벨11 (AC -20), 무게 7
수오미레데메일화	의상류	여자 전사 레벨11 (AC -21), 무게 7
뤼케시온레데메일	의상류	여자 전사 레벨11 (AC -17), 무게 7
뤼케시온레데메일수	의상류	여자 전사 레벨11 (AC -18), 무게 7
뤼케시온레데메일토	의상류	여자 전사 레벨11 (AC -19), 무게 7
뤼케시온레데메일풍	의상류	여자 전사 레벨11 (AC -20), 무게 7
뤼케시온레데메일화	의상류	여자 전사 레벨11 (AC -21), 무게 7
루어스레데메일	의상류	여자 전사 레벨11 (AC -17), 무게 7
루어스레데메일수	의상류	여자 전사 레벨11 (AC -18), 무게 7
루어스레데메일토	의상류	여자 전사 레벨11 (AC -19), 무게 7
루어스레데메일풍	의상류	여자 전사 레벨11 (AC -20), 무게 7
루어스레데메일화	의상류	여자 전사 레벨11 (AC -21), 무게 7
밀레스레데메일	의상류	여자 전사 레벨11 (AC -17), 무게 7
밀레스레데메일수	의상류	여자 전사 레벨11 (AC -18), 무게 7
밀레스레데메일토	의상류	여자 전사 레벨11 (AC -19), 무게 7
밀레스레데메일풍	의상류	여자 전사 레벨11 (AC -20), 무게 7
밀레스레데메일화	의상류	여자 전사 레벨11 (AC -21), 무게 7
미스티플레이트	의상류	여자 전사 레벨26 (AC -24), 무게10
미스티플레이트수	의상류	여자 전사 레벨26 (AC -25), 무게10
