[사용일자] : 2019년 01월 24일 목요일  10:58:35	Npc Parse : 별장지기
[사용일자] : 2019년 01월 24일 목요일  15:51:38	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:51:38	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:51:39	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:51:53	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:51:53	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:51:55	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:52:22	Npc Parse : 세오
[사용일자] : 2019년 01월 24일 목요일  15:53:06	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:53:07	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:53:07	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:53:08	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:53:12	Spell Parse : 메테오
[사용일자] : 2019년 01월 24일 목요일  15:53:52	Npc Parse : 칸
[사용일자] : 2019년 01월 24일 목요일  15:53:58	Npc Parse : 칸
[사용일자] : 2019년 01월 24일 목요일  15:54:02	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:54:02	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:54:03	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:54:07	Spell Parse : 메테오
[사용일자] : 2019년 01월 24일 목요일  15:54:37	Spell Parse : 홀리쿠라노
[사용일자] : 2019년 01월 24일 목요일  15:54:43	Spell Parse : 홀리쿠라노
[사용일자] : 2019년 01월 24일 목요일  15:54:43	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:54:44	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:54:47	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:54:49	Spell Parse : 메테오
[사용일자] : 2019년 01월 24일 목요일  15:55:07	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:55:08	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:55:08	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:55:09	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:55:11	Spell Parse : 메테오
[사용일자] : 2019년 01월 24일 목요일  15:55:20	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  15:55:22	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:55:24	Spell Parse : 메테오
[사용일자] : 2019년 01월 24일 목요일  15:55:25	Npc Parse : 순수이아
[사용일자] : 2019년 01월 24일 목요일  15:55:37	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:55:38	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:55:39	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  15:55:40	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:55:40	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:55:41	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:55:41	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:55:42	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:55:42	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:55:43	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:55:43	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:55:44	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:55:44	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:55:45	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:55:45	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  15:55:49	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:55:49	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:55:49	Spell Parse : 디베노모
[사용일자] : 2019년 01월 24일 목요일  15:55:50	Npc Parse : 순수이아
[사용일자] : 2019년 01월 24일 목요일  15:55:50	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:55:51	Npc Parse : 순수이아
[사용일자] : 2019년 01월 24일 목요일  15:55:51	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  15:55:52	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:55:54	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:55:56	Spell Parse : 메테오
[사용일자] : 2019년 01월 24일 목요일  15:56:01	Spell Parse : 홀리쿠라노
[사용일자] : 2019년 01월 24일 목요일  15:56:10	Spell Parse : 디나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:56:14	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:56:16	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:56:17	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:56:20	Spell Parse : 메테오
[사용일자] : 2019년 01월 24일 목요일  15:56:30	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:56:31	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:56:31	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:56:33	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:56:34	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:56:36	Spell Parse : 메테오
[사용일자] : 2019년 01월 24일 목요일  15:56:43	Npc Parse : 메사라
[사용일자] : 2019년 01월 24일 목요일  15:56:43	Npc Parse : 메사라
[사용일자] : 2019년 01월 24일 목요일  15:56:45	Spell Parse : 메테오
[사용일자] : 2019년 01월 24일 목요일  15:56:48	Npc Parse : 메사라
[사용일자] : 2019년 01월 24일 목요일  15:56:52	Npc Parse : 메사라
[사용일자] : 2019년 01월 24일 목요일  15:56:56	Npc Parse : 메사라
[사용일자] : 2019년 01월 24일 목요일  15:57:06	Npc Parse : 메사라
[사용일자] : 2019년 01월 24일 목요일  15:57:11	Npc Parse : 메사라
[사용일자] : 2019년 01월 24일 목요일  15:57:31	Npc Parse : 메사라
[사용일자] : 2019년 01월 24일 목요일  15:57:38	Npc Parse : 메사라
[사용일자] : 2019년 01월 24일 목요일  15:57:39	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:57:40	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:57:40	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:57:41	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:57:44	Spell Parse : 메테오
[사용일자] : 2019년 01월 24일 목요일  15:57:55	Npc Parse : 메사라
[사용일자] : 2019년 01월 24일 목요일  15:58:03	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:58:04	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:58:06	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:58:06	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  15:58:08	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:58:10	Spell Parse : 메테오
[사용일자] : 2019년 01월 24일 목요일  15:59:13	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:59:13	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:59:13	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:59:14	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:59:15	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:59:18	Spell Parse : 메테오
[사용일자] : 2019년 01월 24일 목요일  15:59:23	Spell Parse : 리플렉토
[사용일자] : 2019년 01월 24일 목요일  15:59:24	Spell Parse : 리플렉토
[사용일자] : 2019년 01월 24일 목요일  15:59:33	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:59:34	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  15:59:40	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:59:42	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  15:59:50	Spell Parse : 홀리쿠라노
[사용일자] : 2019년 01월 24일 목요일  16:00:05	Npc Parse : 레노아
[사용일자] : 2019년 01월 24일 목요일  16:00:08	Npc Parse : 이냐
[사용일자] : 2019년 01월 24일 목요일  16:00:13	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:00:13	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:00:14	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:00:14	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  16:00:16	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  16:00:18	Spell Parse : 메테오
[사용일자] : 2019년 01월 24일 목요일  16:00:24	Npc Parse : 네아
[사용일자] : 2019년 01월 24일 목요일  16:00:36	Spell Parse : 성장(소환사)
[사용일자] : 2019년 01월 24일 목요일  16:00:38	Npc Parse : 네아
[사용일자] : 2019년 01월 24일 목요일  16:00:38	Npc Parse : 네아
[사용일자] : 2019년 01월 24일 목요일  16:00:47	Spell Parse : 성장(바드)
[사용일자] : 2019년 01월 24일 목요일  16:00:49	Spell Parse : 성장(바드)
[사용일자] : 2019년 01월 24일 목요일  16:00:54	Npc Parse : 레노아
[사용일자] : 2019년 01월 24일 목요일  16:01:00	Npc Parse : 셀라
[사용일자] : 2019년 01월 24일 목요일  16:01:07	Spell Parse : 성장(소환사)
[사용일자] : 2019년 01월 24일 목요일  16:01:09	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:10	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:11	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:12	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:13	Spell Parse : 성장(소환사)
[사용일자] : 2019년 01월 24일 목요일  16:01:13	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:15	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:15	Npc Parse : 셀라
[사용일자] : 2019년 01월 24일 목요일  16:01:15	Npc Parse : 셀라
[사용일자] : 2019년 01월 24일 목요일  16:01:17	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:18	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:19	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:19	Spell Parse : 성장(소환사)
[사용일자] : 2019년 01월 24일 목요일  16:01:20	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:21	Spell Parse : 성장(소환사)
[사용일자] : 2019년 01월 24일 목요일  16:01:22	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:22	Npc Parse : 셀라
[사용일자] : 2019년 01월 24일 목요일  16:01:23	Npc Parse : 셀라
[사용일자] : 2019년 01월 24일 목요일  16:01:23	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:24	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:25	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:26	Spell Parse : 성장(소환사)
[사용일자] : 2019년 01월 24일 목요일  16:01:26	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:28	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:30	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:31	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:32	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:33	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:35	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:36	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:44	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:45	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:52	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:53	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:55	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:56	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:01:59	Spell Parse : 홀리쿠라노
[사용일자] : 2019년 01월 24일 목요일  16:02:03	Spell Parse : 디소루메라
[사용일자] : 2019년 01월 24일 목요일  16:02:08	Spell Parse : 디소루메라
[사용일자] : 2019년 01월 24일 목요일  16:02:09	Spell Parse : 디나르콜룸
[사용일자] : 2019년 01월 24일 목요일  16:02:10	Spell Parse : 디소루메라
[사용일자] : 2019년 01월 24일 목요일  16:02:19	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:02:20	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:02:22	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:02:23	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:02:24	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:02:26	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:02:27	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:02:28	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:02:32	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:02:37	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:02:37	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:02:38	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:02:40	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:02:41	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:02:42	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:02:47	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:02:48	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:02:48	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:02:48	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:02:49	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:02:49	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:02:50	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:02:51	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  16:02:52	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  16:02:54	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  16:02:56	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  16:02:57	Spell Parse : 홀리드래곤
[사용일자] : 2019년 01월 24일 목요일  16:03:19	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:03:21	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:03:21	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:03:22	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:03:25	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:03:26	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:03:27	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:03:27	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:03:27	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:03:27	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:03:29	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:03:31	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:03:31	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  16:03:32	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  16:03:32	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:03:33	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  16:03:35	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  16:03:35	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:03:36	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:03:37	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:03:39	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:03:40	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:03:46	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:03:46	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  16:03:47	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:03:49	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  16:03:49	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  16:03:49	Skill Parse : 연주공격(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:03:51	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  16:03:57	Spell Parse : 성장(소환사)
[사용일자] : 2019년 01월 24일 목요일  16:04:01	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  16:04:02	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:04:03	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:04:12	Spell Parse : 홀리드래곤
[사용일자] : 2019년 01월 24일 목요일  16:04:31	Npc Parse : 레노아
[사용일자] : 2019년 01월 24일 목요일  16:04:43	Npc Parse : 네아
[사용일자] : 2019년 01월 24일 목요일  16:05:02	Spell Parse : 성장(바드)
[사용일자] : 2019년 01월 24일 목요일  16:05:04	Spell Parse : 성장(바드)
[사용일자] : 2019년 01월 24일 목요일  16:05:10	Npc Parse : 네아
[사용일자] : 2019년 01월 24일 목요일  16:05:10	Npc Parse : 네아
[사용일자] : 2019년 01월 24일 목요일  16:05:20	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:05:20	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:05:21	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:05:22	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:05:23	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:05:25	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  16:05:25	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:05:27	Npc Parse : 네아
[사용일자] : 2019년 01월 24일 목요일  16:05:27	Npc Parse : 네아
[사용일자] : 2019년 01월 24일 목요일  16:05:28	Spell Parse : 메테오
[사용일자] : 2019년 01월 24일 목요일  16:05:31	Spell Parse : 메테오
[사용일자] : 2019년 01월 24일 목요일  16:05:36	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  16:05:36	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  16:05:37	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  16:05:37	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  16:05:38	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  16:05:41	Spell Parse : 성장(바드)
[사용일자] : 2019년 01월 24일 목요일  16:05:46	Spell Parse : 리젠(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:05:49	Spell Parse : 성장(바드)
[사용일자] : 2019년 01월 24일 목요일  16:05:54	Spell Parse : 성장(바드)
[사용일자] : 2019년 01월 24일 목요일  16:05:58	Spell Parse : 성장(바드)
[사용일자] : 2019년 01월 24일 목요일  16:06:03	Spell Parse : 홀리쿠라네라(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:06:45	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:06:46	Spell Parse : 홀리쿠라네라(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:06:46	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:06:46	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:06:52	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:06:53	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:06:54	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:06:55	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:06:56	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  16:06:56	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  16:06:59	Spell Parse : 슈페이아움(Lev1)
[사용일자] : 2019년 01월 24일 목요일  16:07:05	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:07:06	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:07:07	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:07:09	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:07:11	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:07:12	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:07:13	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:07:18	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  16:07:18	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  16:07:21	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  16:07:24	Spell Parse : 메테오
[사용일자] : 2019년 01월 24일 목요일  16:07:41	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:07:42	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:07:46	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  16:07:48	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  16:07:48	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:07:49	Spell Parse : 어각베라
[사용일자] : 2019년 01월 24일 목요일  16:07:50	Spell Parse : 나르콜룸
[사용일자] : 2019년 01월 24일 목요일  16:07:53	Spell Parse : 메테오
[사용일자] : 2019년 01월 24일 목요일  16:07:55	Spell Parse : 속성강화
[사용일자] : 2019년 01월 24일 목요일  16:07:58	Spell Parse : 메테오
[사용일자] : 2019년 01월 24일 목요일  16:08:21	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  16:08:21	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  16:08:22	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  16:08:22	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  16:08:23	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  16:08:23	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  16:08:24	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  16:08:24	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  16:08:25	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  16:08:25	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  16:08:26	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  16:08:26	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  16:08:27	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  16:08:27	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  16:08:28	Spell Parse : 소환술3
[사용일자] : 2019년 01월 24일 목요일  16:37:46	Spell Parse : 홀리쿠라네라(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:37:48	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:37:49	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:37:50	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:37:51	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:37:57	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:38:01	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:38:02	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:38:03	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:38:04	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:38:05	Spell Parse : 홀리쿠라네라(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:38:06	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:38:07	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:38:07	Spell Parse : 디소루메라
[사용일자] : 2019년 01월 24일 목요일  16:38:08	Spell Parse : 디나르콜룸
[사용일자] : 2019년 01월 24일 목요일  16:38:08	Spell Parse : 홀리쿠라네라(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:38:08	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:38:09	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:38:11	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:38:12	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:38:14	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:38:15	Skill Parse : 연주공격(Lev2)
[사용일자] : 2019년 01월 24일 목요일  16:38:17	Spell Parse : 리플렉토
[사용일자] : 2019년 01월 24일 목요일  16:38:17	Spell Parse : 이모탈
