영문	부위	요구레벨	제안	후보	등급
Luathas Leather Greaves	12	6	로오의가죽각반	가죽각반 · 마법의가죽각반 · 메투스의가죽각반 · 뮤레칸의가죽각반 · 세오의가죽각반 · 세오의각반 · 세토아의가죽각반 · 셔스의가죽각반 · 이아의가죽각반 · 체력의가죽각반 · 축복의가죽각반 · 칸의가죽각반	PACK_CONSENSUS
Luathas Mythril Greaves	12	59	로오의은각반	마법의은각반 · 메투스의은각반 · 뮤레칸의은각반 · 산호각반 · 세오의은각반 · 세토아의은각반 · 셔스의은각반 · 은각반 · 이아의은각반 · 체력의은각반 · 축복의은각반 · 칸의은각반	EXTRACTED_SINGLE
Magic Hy-Brasyl Greaves	12	93	마력의금각반	금각반 · 뉴트의매직각반 · 뉴트의몽크각반 · 뉴트의파워각반 · 레드오피온의각반 · 로오의금각반 · 메투스의금각반 · 뮤레칸의금각반 · 세오의금각반 · 세토아의금각반 · 셔스의금각반 · 이아의금각반	EXTRACTED_SINGLE
Magic Iron Greaves	12	20	마법의동각반	동각반 · 로오의동각반 · 메투스의동각반 · 뮤레칸의동각반 · 세오의동각반 · 세토아의동각반 · 셔스의동각반 · 이아의동각반 · 체력의동각반 · 축복의동각반 · 칸의동각반 · 풍요의동각반	EXTRACTED_SINGLE
Magic Leather Greaves	12	6	마법의가죽각반	가죽각반 · 로오의가죽각반 · 메투스의가죽각반 · 뮤레칸의가죽각반 · 세오의가죽각반 · 세오의각반 · 세토아의가죽각반 · 셔스의가죽각반 · 이아의가죽각반 · 체력의가죽각반 · 축복의가죽각반 · 칸의가죽각반	EXTRACTED_SINGLE
Magic Mythril Greaves	12	59	마법의은각반	로오의은각반 · 메투스의은각반 · 뮤레칸의은각반 · 산호각반 · 세오의은각반 · 세토아의은각반 · 셔스의은각반 · 은각반 · 이아의은각반 · 체력의은각반 · 축복의은각반 · 칸의은각반	EXTRACTED_SINGLE
Might Hy-Brasyl Greaves	12	93	체력의금각반	금각반 · 뉴트의매직각반 · 뉴트의몽크각반 · 뉴트의파워각반 · 레드오피온의각반 · 로오의금각반 · 마력의금각반 · 메투스의금각반 · 뮤레칸의금각반 · 세오의금각반 · 세토아의금각반 · 셔스의금각반	EXTRACTED_SINGLE
Might Iron Greaves	12	20	체력의동각반	동각반 · 로오의동각반 · 마법의동각반 · 메투스의동각반 · 뮤레칸의동각반 · 세오의동각반 · 세토아의동각반 · 셔스의동각반 · 이아의동각반 · 축복의동각반 · 칸의동각반 · 풍요의동각반	EXTRACTED_SINGLE
Might Leather Greaves	12	6	체력의가죽각반	가죽각반 · 로오의가죽각반 · 마법의가죽각반 · 메투스의가죽각반 · 뮤레칸의가죽각반 · 세오의가죽각반 · 세오의각반 · 세토아의가죽각반 · 셔스의가죽각반 · 이아의가죽각반 · 축복의가죽각반 · 칸의가죽각반	EXTRACTED_SINGLE
Might Mythril Greaves	12	59	체력의은각반	로오의은각반 · 마법의은각반 · 메투스의은각반 · 뮤레칸의은각반 · 산호각반 · 세오의은각반 · 세토아의은각반 · 셔스의은각반 · 은각반 · 이아의은각반 · 축복의은각반 · 칸의은각반	EXTRACTED_SINGLE
Sgrios Hy-Brasyl Greaves	12	93	뮤레칸의금각반	금각반 · 뉴트의매직각반 · 뉴트의몽크각반 · 뉴트의파워각반 · 레드오피온의각반 · 로오의금각반 · 마력의금각반 · 메투스의금각반 · 세오의금각반 · 세토아의금각반 · 셔스의금각반 · 이아의금각반	EXTRACTED_SINGLE
Sgrios Iron Greaves	12	20	뮤레칸의동각반	동각반 · 로오의동각반 · 마법의동각반 · 메투스의동각반 · 세오의동각반 · 세토아의동각반 · 셔스의동각반 · 이아의동각반 · 체력의동각반 · 축복의동각반 · 칸의동각반 · 풍요의동각반	EXTRACTED_SINGLE
Sgrios Leather Greaves	12	6	뮤레칸의가죽각반	가죽각반 · 로오의가죽각반 · 마법의가죽각반 · 메투스의가죽각반 · 세오의가죽각반 · 세오의각반 · 세토아의가죽각반 · 셔스의가죽각반 · 이아의가죽각반 · 체력의가죽각반 · 축복의가죽각반 · 칸의가죽각반	EXTRACTED_SINGLE
Sgrios Mythril Greaves	12	59	뮤레칸의은각반	로오의은각반 · 마법의은각반 · 메투스의은각반 · 산호각반 · 세오의은각반 · 세토아의은각반 · 셔스의은각반 · 은각반 · 이아의은각반 · 체력의은각반 · 축복의은각반 · 칸의은각반	EXTRACTED_SINGLE
Abundance Cordovan Boots	13	50	풍요의레더부츠	레더부츠 · 셔스의레더부츠	EXTRACTED_SINGLE
Abundance Grey Boots	13	11	풍요의녹색신발	녹색신발	EXTRACTED_SINGLE
Abundance Shagreen Boots	13	33	풍요의녹색신발	녹색신발	EXTRACTED_SINGLE
Boots	13	1	신발		EXTRACTED_SINGLE
Ceannlaidir Boots	13	1	세토아의신발	신발	AFFIX_COMPOSED
Cordovan Boots	13	50	레더부츠	셔스의레더부츠 · 풍요의레더부츠	EXTRACTED_SINGLE
Enchanted Boots	13	96	매직부츠		EXTRACTED_SINGLE
Fiosachd Cordovan Boots	13	50	셔스의레더부츠	레더부츠 · 풍요의레더부츠	EXTRACTED_SINGLE
Grey Boots	13	11	회색신발		EXTRACTED_SINGLE
Hy-Brasyl Boots	13	1	배틀부츠		EXTRACTED_SINGLE
Lapis Boots	13	56	녹색신발	풍요의녹색신발	EXTRACTED_SINGLE
Luathas Boots	13	1	로오의신발	신발	AFFIX_COMPOSED
Magma Boots	13	82	마그마부츠		EXTRACTED_SINGLE
Saffian Boots	13	66	바이올렛티		EXTRACTED_SINGLE
Shagreen Boots	13	33	녹색신발	풍요의녹색신발	EXTRACTED_SINGLE
Carnun Plate	2	80	헬나이트아머		PACK_CONSENSUS
Dark Cleric Gown	2	60	클레릭의상2		EXTRACTED_SINGLE
Formal Coat	2	0	망토		EXTRACTED_SINGLE
Grand Master Celestial Gown	2	99	라피스라즐리2		PACK_CONSENSUS
Grand Master Celestial Robes	2	99	데메테르2		PACK_CONSENSUS
Grand Master Combat Armor	2	99	위타천2		PACK_CONSENSUS
Grand Master Combat Armor	2	99	위타천2		PACK_CONSENSUS
Grand Master Combat Robe	2	99	가릉비가2		PACK_CONSENSUS
Grand Master Divine Gown	2	99	라피스라즐리1		PACK_CONSENSUS
Grand Master Divine Robes	2	99	데메테르1		PACK_CONSENSUS
Grand Master Magic Gown	2	99	세르네티2		PACK_CONSENSUS
Grand Master Mail	2	99	아비스2		PACK_CONSENSUS
Grand Master Mantle	2	99	아비스1		PACK_CONSENSUS
Grand Master Mystic Gown	2	99	세르네티1		PACK_CONSENSUS
Grand Master Mystic Robe	2	99	솔라레스2		PACK_CONSENSUS
Grand Master Plate	2	99	레일라1		PACK_CONSENSUS
Grand Master Shadow Mail	2	99	아비스2		PACK_CONSENSUS
Grand Master Shadow Plate	2	99	레일라2		PACK_CONSENSUS
Grand Master Virtue Armor	2	99	위타천1		PACK_CONSENSUS
Grand Master Virtue Robe	2	99	가릉비가1		PACK_CONSENSUS
Grand Master War Armor	2	99	레오파드1		PACK_CONSENSUS
Grand Master War Guard	2	99	아레스2		PACK_CONSENSUS
Grand Master War Plate	2	99	레오파드2		PACK_CONSENSUS
Grand Master War Sheath	2	99	아레스1		PACK_CONSENSUS
Marauder Hide	2	80	헬씨프아머		PACK_CONSENSUS
Reiter Mail	2	60	듈라한의상		EXTRACTED_SINGLE
Suomi Guard Uniform	2	0	초보자갑옷		EXTRACTED_SINGLE
White Tuxedo	2	0	턱시도		EXTRACTED_SINGLE
Abundance Talos Shield	3	90	풍요의플라늄방패	플라늄방패	EXTRACTED_SINGLE
Bronze Shield	3	31	구리방패		EXTRACTED_SINGLE
Cail Leather Shield	3	15	메투스의가죽방패	가죽방패	AFFIX_COMPOSED
Ceannlaidir Leather Shield	3	15	세토아의가죽방패	가죽방패	AFFIX_COMPOSED
Fiosachd Hy-Brasyl Shield	3	77	셔스의금제방패	금제방패	EXTRACTED_SINGLE
Glioca Leather Shield	3	15	이아의가죽방패	가죽방패	AFFIX_COMPOSED
Hy-Brasyl Shield	3	77	금제방패	셔스의금제방패	EXTRACTED_SINGLE
Leather Shield	3	15	가죽방패		EXTRACTED_SINGLE
Luathas Leather Shield	3	15	로오의가죽방패	가죽방패	AFFIX_COMPOSED
Mythril Shield	3	61	은제방패		EXTRACTED_SINGLE
Talgonite Shield	3	98	기사단방패		EXTRACTED_SINGLE
Talos Shield	3	90	플라늄방패	풍요의플라늄방패	EXTRACTED_SINGLE
Wooden Shield	3	1	나무방패		EXTRACTED_SINGLE
Wooden Shield 2	3	1	나무방패		EXTRACTED_SINGLE
Grand Master Celestial Crown	4	99	큐이레스2		PACK_CONSENSUS
Grand Master Celestial Mitre F	4	99	아가트2		PACK_CONSENSUS
Grand Master Divine Crown	4	99	큐이레스1		PACK_CONSENSUS
Grand Master Magic Cap	4	99	마아트1		PACK_CONSENSUS
Grand Master Magic Helm	4	99	마르두크2		PACK_CONSENSUS
Grand Master Mystic Cap	4	99	마아트2		PACK_CONSENSUS
Grand Master Mystic Helm	4	99	마르두크1		PACK_CONSENSUS
Grand Master Shadow Hood	4	99	라멜1		PACK_CONSENSUS
Grand Master Valor Helm	4	99	살렛2		PACK_CONSENSUS
Grand Master Valor Helmet	4	99	헬름2		PACK_CONSENSUS
Grand Master War Helm	4	99	살렛1		PACK_CONSENSUS
Grand Master War Helmet	4	99	헬름1		PACK_CONSENSUS
Grand Shadow Band	4	99	루크2		PACK_CONSENSUS
Grand Shadow Hood	4	99	라멜2		PACK_CONSENSUS
Grand Shadow Mask	4	99	루크1		PACK_CONSENSUS
Holy Cap	4	11	세인트홀		SAME_LINEAGE
Holy Conical	4	21	홀리코니칼		EXTRACTED_SINGLE
Hy-Brasyl Helm	4	97	세인트투구		PACK_CONSENSUS
Hy-Brasyl Helmet	4	97	골든플레이트투구		PACK_CONSENSUS
Hy-Brasyl Helmet	4	97	골든플레이트투구		PACK_CONSENSUS
Hy-Brasyl Plated Helmet	4	97	세인트투구		PACK_CONSENSUS
Iplet Helm	4	71	이프리트투구		PACK_CONSENSUS
Kopfloser Mask	4	60	듈라한모자		EXTRACTED_SINGLE
Labyrinth Helmet	4	71	라비린스투구		EXTRACTED_SINGLE
Lich Hood	4	60	마법좀비모자		PACK_CONSENSUS
Magus Cap	4	11	세인트홀		SAME_LINEAGE
Phoenix Helmet	4	86	피닉스투구		EXTRACTED_SINGLE
Platemail Helm	4	86	풀플레이트투구		PACK_CONSENSUS
Sacred Chief	4	99	성승모		EXTRACTED_SINGLE
Beryl Earrings	5	8	순옥귀걸이		PACK_CONSENSUS
Cail Coral Earrings	5	8	메투스의산호귀걸이	가죽팔찌 · 로오의산호귀걸이 · 산호귀걸이 · 세토아의산호귀걸이	EXTRACTED_SINGLE
Ceannlaidir Coral Earrings	5	8	세토아의산호귀걸이	가죽팔찌 · 로오의산호귀걸이 · 메투스의산호귀걸이 · 산호귀걸이	EXTRACTED_SINGLE
Gold Earrings	5	8	쌍금귀걸이		PACK_CONSENSUS
Luathas Coral Earrings	5	8	로오의산호귀걸이	가죽팔찌 · 메투스의산호귀걸이 · 산호귀걸이 · 세토아의산호귀걸이	EXTRACTED_SINGLE
Silver Earrings	5	8	쌍은귀걸이		PACK_CONSENSUS
Wolf Earrings	5	1	쌍은귀걸이		PACK_CONSENSUS
Wolf Earrings	5	1	쌍은귀걸이		PACK_CONSENSUS
Bone Necklace	6	6	마기아목걸이		PACK_CONSENSUS
Dark Bone Necklace	6	6	마기아목걸이		PACK_CONSENSUS
Dark Bone Necklace	6	6	마기아목걸이		PACK_CONSENSUS
Dark Necklace	6	6	해골목걸이		EXTRACTED_SINGLE
Earth Bone Necklace	6	6	대지의마기아목걸이	마기아목걸이	AFFIX_COMPOSED
Earth Gold Jade Necklace	6	6	대지의금옥목걸이		PACK_CONSENSUS
Earth Necklace	6	6	대지의목걸이	[속]대지의목걸이 · 초보자대지의목걸이	PACK_CONSENSUS
Earth Pearl Necklace	6	6	대지의진주목걸이		PACK_CONSENSUS
Fire Bone Necklace	6	6	화염의마기아목걸이	마기아목걸이	AFFIX_COMPOSED
Fire Gold Jade Necklace	6	14	화염의자수정목걸이		PACK_CONSENSUS
Fire Necklace	6	6	화염의목걸이	[속]화염의목걸이 · 초보자화염의목걸이	PACK_CONSENSUS
Light Coral Necklace	6	1	진주목걸이		EXTRACTED_SINGLE
Sea Bone Necklace	6	6	바다의마기아목걸이	마기아목걸이	AFFIX_COMPOSED
Sea Necklace	6	6	바다의목걸이	[속]바다의목걸이 · 초보자바다의목걸이	PACK_CONSENSUS
Wind Bone Necklace	6	6	바람의마기아목걸이	마기아목걸이	AFFIX_COMPOSED
Wind Necklace	6	6	바람의목걸이	[속]바람의목걸이 · 초보자바람의목걸이	PACK_CONSENSUS
Small Emerald Ring	7	1	사파이어반지		PACK_CONSENSUS
Abundance Jade Ring	8	16	풍요의녹옥반지	녹옥반지 · 로오의녹옥반지 · 메투스의녹옥반지 · 세토아의녹옥반지 · 셔스의녹옥반지 · 이아의녹옥반지 · 축복의녹옥반지	EXTRACTED_SINGLE
Beryl Ring	8	5	금반지		PACK_CONSENSUS
Blessed Jade Ring	8	16	축복의녹옥반지	녹옥반지 · 로오의녹옥반지 · 메투스의녹옥반지 · 세토아의녹옥반지 · 셔스의녹옥반지 · 이아의녹옥반지 · 풍요의녹옥반지	EXTRACTED_SINGLE
Cail Jade Ring	8	16	메투스의녹옥반지	녹옥반지 · 로오의녹옥반지 · 세토아의녹옥반지 · 셔스의녹옥반지 · 이아의녹옥반지 · 축복의녹옥반지 · 풍요의녹옥반지	PACK_CONSENSUS
Ceannlaidir Jade Ring	8	16	세토아의녹옥반지	녹옥반지 · 로오의녹옥반지 · 메투스의녹옥반지 · 셔스의녹옥반지 · 이아의녹옥반지 · 축복의녹옥반지 · 풍요의녹옥반지	PACK_CONSENSUS
Coral Ring	8	7	산호반지		PACK_CONSENSUS
Coral Ring	8	7	산호반지		PACK_CONSENSUS
Emerald Ring	8	12	사파이어반지		PACK_CONSENSUS
Fioschad Jade Ring	8	16	셔스의녹옥반지	녹옥반지 · 로오의녹옥반지 · 메투스의녹옥반지 · 세토아의녹옥반지 · 이아의녹옥반지 · 축복의녹옥반지 · 풍요의녹옥반지	EXTRACTED_SINGLE
Gloica Jade Ring	8	16	녹옥반지	로오의녹옥반지 · 메투스의녹옥반지 · 세토아의녹옥반지 · 셔스의녹옥반지 · 이아의녹옥반지 · 축복의녹옥반지 · 풍요의녹옥반지	PACK_CONSENSUS
Jade Ring	8	16	녹옥반지	로오의녹옥반지 · 메투스의녹옥반지 · 세토아의녹옥반지 · 셔스의녹옥반지 · 이아의녹옥반지 · 축복의녹옥반지 · 풍요의녹옥반지	PACK_CONSENSUS
Lapis Ring	8	12	사파이어반지		PACK_CONSENSUS
Luathas Jade Ring	8	16	로오의녹옥반지	녹옥반지 · 메투스의녹옥반지 · 세토아의녹옥반지 · 셔스의녹옥반지 · 이아의녹옥반지 · 축복의녹옥반지 · 풍요의녹옥반지	PACK_CONSENSUS
Red Jade Ring	8	10	홍옥반지		PACK_CONSENSUS
Ruby Ring	8	6	자수정반지		PACK_CONSENSUS
Small Spinal Ring	8	1	자수정반지		PACK_CONSENSUS
Spinel Ring	8	11	자수정반지		PACK_CONSENSUS
Iron Gauntlet	9	33	동장갑	로오의동장갑 · 메투스의동장갑 · 뮤레칸의동장갑 · 세오의동장갑 · 세토아의동장갑 · 셔스의동장갑 · 이아의동장갑 · 풍요의동장갑	PACK_CONSENSUS
Abel Song	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
AbelDock	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Arena Scroll	0	1		밀레스리콜 · 밀레스마을리콜 · 밀레스음식	CONFLICT
Bee's Wax	0	3		그레이조각 · 데몬의가죽	CONFLICT
Centipede's Gland	0	1		동굴쥐의꼬리 · 쥐꼬리	CONFLICT
Chaos10	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Chaos11	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Chaos12	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Chaos2	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Chaos3	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Chaos4	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Chaos5	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Chaos6	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Chaos7	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Chaos8	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Chaos9	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Chicken	0	1		닭고기 · 닭다리	CONFLICT
Chief	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Crypt20	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Crypt30	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Exkuranum	0	1		리치고급포션 · 리치의피 · 체력물약	CONFLICT
GM	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Human Remains	0	3		베이비드라의뼈 · 스켈톤의뼈	CONFLICT
Komadium	0	1		성숙중급포션 · 엑스코마디움 · 코마디움 · 하이포션	CONFLICT
Lorule Scroll	0	1		밀레스리콜 · 밀레스마을리콜 · 밀레스음식	CONFLICT
Loures Throne Song	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Mileth Armor Dye	0	0		뮤레칸의눈물	CONFLICT
Mileth Crypt Song	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Mileth Crypt Song15	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Mileth Crypt Song2	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Mileth Crypt Song23	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Mileth Crypt Song3	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Mileth Crypt Song4	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Mileth Crypt Song6	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Mileth Inn Song	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Mileth Scroll	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Mileth10	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Mileth11	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Mileth9	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Pork	0	1		개고기 · 고기 · 닭고기 · 뱀고기	CONFLICT
Rucesion Song	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Scorpion's Sting	0	1		동굴쥐의꼬리 · 쥐꼬리	CONFLICT
Soumi Song	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Sunup's Lost Sachel	0	0		곤충똥 · 그랑죠 · 나비 · 독수리날개 · 드래곤윙 · 똥먹어 · 레드아이가면 · 리본 · 몸통없는유령 · 백팩 · 불의장막+1 · 서큐버스윙	CONFLICT
Tagor Song	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Underground	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Undine Song	0	1		2차레드굴1 · 2차레드굴16 · 2차레드굴17 · 2차레드굴19 · 2차레드굴20 · 2차레드굴8 · LC고급의류점 · LC무기점 · LC방어구점 · LC성인용품점 · LC펫상점 · OX퀴즈장	CONFLICT
Viper's Gland	0	3		동굴쥐의꼬리 · 쥐꼬리	CONFLICT
Wolf's Teeth	0	3		드라코발톱 · 드라코의발톱	CONFLICT
Woodlands Scroll	0	1		밀레스리콜 · 밀레스마을리콜 · 밀레스음식	CONFLICT
ard ioc deum	0	1		리치고급포션 · 리치의피 · 체력물약	CONFLICT
ard spiorad deum	0	60		고급포션 · 리치중급포션 · 마라디움 · 메가포션 · 최고급포션	CONFLICT
beag spiorad deum	0	1		고급포션 · 리치중급포션 · 마라디움 · 메가포션 · 최고급포션	CONFLICT
beothaich deum	0	30		리치고급포션 · 리치의피 · 체력물약	CONFLICT
mor spiorad deum	0	30		고급포션 · 리치중급포션 · 마라디움 · 메가포션 · 최고급포션	CONFLICT
Battle Sword	1	26		배틀소드 · 배틀소드수 · 배틀소드토 · 배틀소드풍 · 배틀소드화	CONFLICT
Black Death	1	45		블랙데쓰 · 블랙데쓰수 · 블랙데쓰토 · 블랙데쓰풍 · 블랙데쓰화 · 잊혀진칼	CONFLICT
Black Death	1	45		블랙데쓰 · 블랙데쓰수 · 블랙데쓰토 · 블랙데쓰풍 · 블랙데쓰화 · 잊혀진칼	CONFLICT
Blood Dagger	1	89		견습자의단검 · 견습자의단검+1 · 견습자의단검+2 · 혈단검 · 혈단검수 · 혈단검토 · 혈단검풍 · 혈단검화	CONFLICT
Blossom Dagger	1	14		매단검 · 매단검수 · 매단검토 · 매단검풍 · 매단검화 · 일단검 · 중단검	CONFLICT
Bramble	1	41		프럼벨 · 프럼벨수 · 프럼벨토 · 프럼벨풍 · 프럼벨화 · 프렘벨 · 프렘벨수 · 프렘벨토 · 프렘벨풍 · 프렘벨화	CONFLICT
Broad Sword	1	17		그라디우스 · 그라디우스수 · 그라디우스토 · 그라디우스풍 · 그라디우스화	CONFLICT
Broad Sword	1	17		매스케이드 · 매스케이드수 · 매스케이드토 · 매스케이드풍 · 매스케이드화	CONFLICT
Broad Sword	1	17		매스케이드 · 매스케이드수 · 매스케이드토 · 매스케이드풍 · 매스케이드화	CONFLICT
Claidheamh	1	14		세이버 · 세이버수 · 세이버토 · 세이버풍 · 세이버화	CONFLICT
Claidheamh	1	14		세이버 · 세이버수 · 세이버토 · 세이버풍 · 세이버화	CONFLICT
